date_1,K_RWB,K_RvegR,date_2,K_RL,K_RiM,date_3,B_RW,B_RVR,date_4,B_RL ,B_RiM,date_5,WR_RL,WR_RiM,date_6,M_RWB,M_Rwi,date_7,WR_RWM,WR_RWM_M,WR_RWM_WM,date_8,WR_RWB,WR_RWP,WR_RWP_WP
7/1/2020,-1.543655742,-1.543655742,7/1/2020,-1.543655742,-1.543655742,1/1/2020,-0.908619336,-0.908619336,1/1/2020,-0.931340485,-0.933194475,1/1/2020,-1.84371682,-1.84378632,1/1/2020,-1.750556211,-1.750556211,1/1/2021,-1.499103242,-1.499103242,-1.499103242,1/1/2020,-1.627049911,-1.627049911,-1.627049911
1/1/2021,-1.517422889,-1.534936955,1/1/2021,-1.52939903,-1.534936955,7/1/2020,-0.895544879,-0.895544879,7/1/2020,-0.925097523,-0.926141174,7/1/2020,-1.8494266,-1.85026732,7/1/2020,-1.744364509,-1.774747123,7/1/2021,-1.479458864,-1.553502712,-1.504307515,7/1/2020,-1.632759691,-1.618935366,-1.613283858
7/1/2021,-1.563035654,-1.572847515,7/1/2021,-1.575322076,-1.572847515,1/1/2021,-0.902790638,-0.902790638,1/1/2021,-0.91191519,-0.912698209,1/1/2021,-1.83579558,-1.83575682,1/1/2021,-1.745273224,-1.740448719,1/1/2022,-1.486499939,-1.485096015,-1.4957325,1/1/2021,-1.619128671,-1.647091208,-1.628560542
1/1/2022,-1.531156889,-1.517737864,1/1/2022,-1.516875924,-1.517737864,7/1/2021,-0.927290147,-0.927290147,7/1/2021,-1.00263796,-0.998944727,7/1/2021,-1.87210008,-1.87203594,7/1/2021,-1.742735697,-1.768466105,7/1/2022,-1.481026,-1.551284985,-1.515989727,7/1/2021,-1.655433171,-1.654750406,-1.621344437
7/1/2022,-1.566471125,-1.574077848,7/1/2022,-1.574002379,-1.574077848,1/1/2022,-0.883979207,-0.883979207,1/1/2022,-0.90709659,-0.905721314,1/1/2022,-1.84277358,-1.84269754,1/1/2022,-1.744383781,-1.746939649,1/1/2023,-1.485721061,-1.486166818,-1.506722682,1/1/2022,-1.626106671,-1.651530327,-1.628012174
1/1/2023,-1.521350301,-1.528927439,1/1/2023,-1.532872848,-1.528927439,7/1/2022,-0.95451244,-0.95451244,7/1/2022,-0.963410772,-0.962151252,7/1/2022,-1.86290102,-1.86283338,7/1/2022,-1.740884224,-1.747046842,7/1/2023,-1.46286597,-1.535115061,-1.480024515,7/1/2022,-1.646234111,-1.659265644,-1.636762385
7/1/2023,-1.555867831,-1.55593047,7/1/2023,-1.559569288,-1.55593047,1/1/2023,-0.892660397,-0.892660397,1/1/2023,-0.903195064,-0.903314429,1/1/2023,-1.83977522,-1.83996198,1/1/2023,-1.746147561,-1.749205469,1/1/2024,-1.445147182,-1.425047909,-1.490371076,1/1/2023,-1.623108311,-1.663329069,-1.636566542
1/1/2024,-1.493949301,-1.495861333,1/1/2024,-1.492245939,-1.495861333,7/1/2023,-0.918344647,-0.918344647,7/1/2023,-0.894547206,-0.894540542,7/1/2023,-1.83210786,-1.83193868,7/1/2023,-1.743945654,-1.764504355,7/1/2024,-1.484162727,-1.561994136,-1.530277621,7/1/2023,-1.615440951,-1.652105475,-1.622457227
7/1/2024,-1.566694948,-1.579156394,7/1/2024,-1.58078053,-1.579156394,1/1/2024,-0.897111535,-0.897111535,1/1/2024,-0.899374654,-0.898160212,1/1/2024,-1.8281423,-1.82820164,1/1/2024,-1.744887952,-1.743471443,1/1/2025,-1.482903561,-1.501745227,-1.520610591,1/1/2024,-1.611475391,-1.679958257,-1.640250595
1/1/2025,-1.531474742,-1.519158485,1/1/2025,-1.524476545,-1.519158485,7/1/2024,-0.966173957,-0.966173957,7/1/2024,-1.010558126,-1.00488492,7/1/2024,-1.87516926,-1.87512562,7/1/2024,-1.747223053,-1.771451022,7/1/2025,-1.500221333,-1.567180439,-1.558945303,7/1/2024,-1.658502351,-1.686886683,-1.644266964
7/1/2025,-1.567900125,-1.578004439,7/1/2025,-1.583219652,-1.578004439,1/1/2025,-0.902553095,-0.902553095,1/1/2025,-0.90681111,-0.905441442,1/1/2025,-1.83444514,-1.83440768,1/1/2025,-1.745636311,-1.747230798,1/1/2026,-1.447039788,-1.441636167,-1.509242379,1/1/2025,-1.617778231,-1.702204723,-1.652751279
1/1/2026,-1.495782831,-1.468669303,1/1/2026,-1.467818515,-1.468669303,7/1/2025,-0.948799397,-0.948799397,7/1/2025,-0.943479225,-0.941082826,7/1/2025,-1.8570624,-1.85713892,7/1/2025,-1.733079048,-1.754037088,7/1/2026,-1.465664939,-1.521449364,-1.485308727,7/1/2025,-1.640395491,-1.704571673,-1.647595806
7/1/2026,-1.554364389,-1.531984864,7/1/2026,-1.529641076,-1.531984864,1/1/2026,-0.893598017,-0.893598017,1/1/2026,-0.89445993,-0.895044335,1/1/2026,-1.83007106,-1.83015474,1/1/2026,-1.742823373,-1.747891399,1/1/2027,-1.483088576,-1.463648061,-1.522177409,1/1/2026,-1.613404151,-1.706057634,-1.653463542
