,Rice-Wheat,Rice-Vegetable-Rice,,,,,Rice-Lentil,Rice-Maize
1/1/2021,-887.4684655,-887.4684655,,,,1/1/2020,-931.3404853,-933.1944745
7/1/2021,-905.9640172,-913.3282672,,,,7/1/2020,-925.0975228,-926.1411743
1/1/2022,-873.1478621,-872.7201552,,,,1/1/2021,-911.9151903,-912.6982091
7/1/2022,-879.4704483,-877.426681,,,,7/1/2021,-1002.63796,-998.9447265
1/1/2023,-882.2773448,-877.7858707,,,,1/1/2022,-907.0965898,-905.7213137
7/1/2023,-891.6380345,-891.5117069,,,,7/1/2022,-963.4107721,-962.151252
1/1/2024,-883.5407414,-879.6401034,,,,1/1/2023,-903.1950643,-903.314429
7/1/2024,-904.5669828,-913.9525517,,,,7/1/2023,-894.5472064,-894.5405416
1/1/2025,-895.9165,-892.6593707,,,,1/1/2024,-899.3746542,-898.1602118
7/1/2025,-894.2770948,-893.9980948,,,,7/1/2024,-1010.558126,-1004.88492
1/1/2026,-885.733,-888.545819,,,,1/1/2025,-906.8111099,-905.4414424
7/1/2026,-887.8613793,-883.9667155,,,,7/1/2025,-943.4792252,-941.0828257
1/1/2027,-893.0346724,-891.3261379,,,,1/1/2026,-894.4599303,-895.0443351
7/1/2027,-887.1772414,-882.212319,,,,7/1/2026,-914.2472815,-912.8017212
1/1/2028,-895.2260603,-891.4731466,,,,1/1/2027,-891.9509946,-891.9034504
7/1/2028,-898.4240431,-904.4100862,,,,7/1/2027,-975.5790161,-973.3968499
1/1/2029,-888.573181,-888.5421034,,,,1/1/2028,-887.236496,-886.7794906
7/1/2029,-891.6541897,-888.4093103,,,,7/1/2028,-939.0513217,-935.9481475
1/1/2030,-886.6825431,-882.8257241,,,,1/1/2029,-900.3851448,-900.0848579
7/1/2030,-898.0657845,-906.285181,,,,7/1/2029,-909.4717936,-908.2104504
1/1/2031,-886.4295517,-889.5318362,,,,1/1/2030,-878.432496,-878.0348794
7/1/2031,-890.7301983,-895.2669828,,,,7/1/2030,-915.2429812,-913.1375255
1/1/2032,-898.8673448,-890.5221034,,,,1/1/2031,-888.3780643,-888.6223861
7/1/2032,-906.2050172,-912.9192586,,,,7/1/2031,-924.1553056,-921.6364075
1/1/2033,-875.6878534,-873.0610259,,,,1/1/2032,-863.7521769,-863.5652922
7/1/2033,-900.3147931,-901.8607759,,,,7/1/2032,-928.3567346,-925.8216702
1/1/2034,-891.1751983,-897.8129138,,,,1/1/2033,-875.9877158,-875.8028552
7/1/2034,-892.2242759,-890.6843448,,,,7/1/2033,-941.8633432,-940.1995469
1/1/2035,-894.9389914,-890.7556552,,,,1/1/2034,-882.9112493,-883.7052627
7/1/2035,-882.4478707,-878.834931,,,,7/1/2034,-924.5355737,-923.4502118
1/1/2036,-870.6668966,-869.7785,,,,1/1/2035,-883.1414853,-881.5095898
7/1/2036,-894.6375862,-892.3666379,,,,7/1/2035,-976.3578016,-971.8967587
1/1/2037,-883.5255603,-875.095431,,,,1/1/2036,-888.7084638,-888.8168472
7/1/2037,-899.9857155,-908.7129138,,,,7/1/2036,-878.5187694,-877.426
1/1/2038,-901.6736897,-911.1747931,,,,1/1/2037,-894.1874611,-893.6999893
7/1/2038,-890.2918966,-900.131681,,,,7/1/2037,-936.0227239,-932.8935147
1/1/2039,-903.3805603,-911.9690776,,,,1/1/2038,-920.8868874,-918.2898847
7/1/2039,-898.2258362,-909.4380172,,,,7/1/2038,-915.3801233,-914.5629517
1/1/2040,-858.6463879,-856.7561293,,,,1/1/2039,-892.8903405,-891.9198097
7/1/2040,-894.4907155,-896.9373707,,,,7/1/2039,-918.4222735,-916.947815
1/1/2041,-896.7011293,-891.4471897,,,,1/1/2040,-885.0294316,-884.5999786
7/1/2041,-898.3386293,-905.9976379,,,,7/1/2040,-923.2175496,-920.7310161
1/1/2042,-878.96825,-878.8608103,,,,1/1/2041,-851.6660134,-851.7226944
7/1/2042,-902.0551034,-898.9015862,,,,7/1/2041,-896.0770563,-894.6820214
1/1/2043,-887.2219052,-891.8746724,,,,1/1/2042,-904.6561662,-902.6717748
7/1/2043,-901.8023707,-904.535681,,,,7/1/2042,-987.4166944,-983.339882
1/1/2044,-880.7256638,-881.3203966,,,,1/1/2043,-895.2625871,-894.8964209
7/1/2044,-886.5373276,-882.3870345,,,,7/1/2043,-942.7034906,-940.2655657
1/1/2045,-873.4233793,-873.8053276,,,,1/1/2044,-893.2286515,-893.5460241
7/1/2045,-901.9096897,-912.3701379,,,,7/1/2044,-894.8935496,-893.0153512
1/1/2046,-897.3404052,-913.2512586,,,,1/1/2045,-891.9285201,-891.3664906
7/1/2046,-885.4648448,-892.3187414,,,,7/1/2045,-932.3152332,-930.9859839
1/1/2047,-893.3899828,-887.1495431,,,,1/1/2046,-890.0550965,-890.4177131
7/1/2047,-889.3365603,-882.4985776,,,,7/1/2046,-890.9308981,-889.3955684
1/1/2048,-887.6058621,-887.175569,,,,1/1/2047,-881.4346676,-881.6132064
7/1/2048,-874.8382155,-871.2976466,,,,7/1/2047,-945.6467265,-942.5792466
1/1/2049,-897.9668966,-891.7356509,,,,,,
7/1/2049,-898.0775517,-894.8392931,,,,,,
