date1,rw,rvr
1/1/2021,-887.4684655,-887.4684655
7/1/2021,-905.9640172,-913.3282672
1/1/2022,-873.1478621,-872.7201552
7/1/2022,-879.4704483,-877.426681
1/1/2023,-882.2773448,-877.7858707
7/1/2023,-891.6380345,-891.5117069
1/1/2024,-883.5407414,-879.6401034
7/1/2024,-904.5669828,-913.9525517
1/1/2025,-895.9165,-892.6593707
7/1/2025,-894.2770948,-893.9980948
1/1/2026,-885.733,-888.545819
7/1/2026,-887.8613793,-883.9667155
1/1/2027,-893.0346724,-891.3261379
7/1/2027,-887.1772414,-882.212319
1/1/2028,-895.2260603,-891.4731466
7/1/2028,-898.4240431,-904.4100862
1/1/2029,-888.573181,-888.5421034
7/1/2029,-891.6541897,-888.4093103
1/1/2030,-886.6825431,-882.8257241
7/1/2030,-898.0657845,-906.285181
1/1/2031,-886.4295517,-889.5318362
7/1/2031,-890.7301983,-895.2669828
1/1/2032,-898.8673448,-890.5221034
7/1/2032,-906.2050172,-912.9192586
1/1/2033,-875.6878534,-873.0610259
7/1/2033,-900.3147931,-901.8607759
1/1/2034,-891.1751983,-897.8129138
7/1/2034,-892.2242759,-890.6843448
1/1/2035,-894.9389914,-890.7556552
7/1/2035,-882.4478707,-878.834931
1/1/2036,-870.6668966,-869.7785
7/1/2036,-894.6375862,-892.3666379
1/1/2037,-883.5255603,-875.095431
7/1/2037,-899.9857155,-908.7129138
1/1/2038,-901.6736897,-911.1747931
7/1/2038,-890.2918966,-900.131681
1/1/2039,-903.3805603,-911.9690776
7/1/2039,-898.2258362,-909.4380172
1/1/2040,-858.6463879,-856.7561293
7/1/2040,-894.4907155,-896.9373707
1/1/2041,-896.7011293,-891.4471897
7/1/2041,-898.3386293,-905.9976379
1/1/2042,-878.96825,-878.8608103
7/1/2042,-902.0551034,-898.9015862
1/1/2043,-887.2219052,-891.8746724
7/1/2043,-901.8023707,-904.535681
1/1/2044,-880.7256638,-881.3203966
7/1/2044,-886.5373276,-882.3870345
1/1/2045,-873.4233793,-873.8053276
7/1/2045,-901.9096897,-912.3701379
1/1/2046,-897.3404052,-913.2512586
7/1/2046,-885.4648448,-892.3187414
1/1/2047,-893.3899828,-887.1495431
7/1/2047,-889.3365603,-882.4985776
1/1/2048,-887.6058621,-887.175569
7/1/2048,-874.8382155,-871.2976466
1/1/2049,-897.9668966,-891.7356509
7/1/2049,-898.0775517,-894.8392931
