Year,Observed_C,Simulated_C,Ovserved_S,Simulated_S
2008,3050.908333,3449.09,3254.9,3297.861667
2009,4402.633333,4790.1625,3313.183333,4360.261667
2010,4530.96875,4570.055,4228.34375,4493.721667
2011,4245.15625,5425.77,4073.66875,4249.286667
2012,4131.391667,5640.57,3952.61875,5269.7
2013,4292.791667,4847.6425,5601.925,4530.543333
2014,4961.36875,5464.2875,5652.3625,5689.576667
2015,4507.991667,5044.23,5217.255,5354.761667
2016,4557.308333,5389,4608.30625,5263.996667
2017,5280.47,5485.5075,5630.50625,5728.69
2018,6198.208333,6028.0275,5311.06875,5549.446667
